State	$	IDENTIFIER	'('	')'	VOID	CHAR	INT	FLOAT	'*'	'['	']'	comma	'{'	'}'	';'	'='	IF	ELSE	WHILE	FOR	CONTINUE	BREAK	RETURN	assignment_operator	'?'	':'	OR_OP	AND_OP	'	'^'	'&'	EQ_OP	NE_OP	'<'	'>'	LE_OP	GE_OP	'+'	'-'	'/'	'%'	type_name	INC_OP	DEC_OP	unary_operator	SIZEOF	'.'	PTR_OP	CONSTANT	STRING_LITERAL	program	external_declaration	function_definition	type_specifier	declarator	pointer	direct_declarator	identifier_list	constant_expression	parameter_list	parameter_declaration	compound_statement	declaration_list	declaration	statement_list	statement	expression_statement	selection_statement	iteration_statement	jump_statement	expression	assignment_expression	conditional_expression	logical_or_expression	logical_and_expression	inclusive_or_expression	exclusive_or_expression	and_expression	equality_expression	relational_expression	additive_expression	multiplicative_expression	cast_expression	unary_expression	postfix_expression	primary_expression	argument_expression_list	
0	err	err	err	err	s7	s5	s6	s11	s8	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	1	10	9	13	12	3	2	err	err	err	err	err	err	4	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	
1	acc	err	err	err	s7	s5	s6	s11	s8	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	14	9	13	12	3	2	err	err	err	err	err	err	4	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	
2	err	err	err	err	err	err	err	err	err	s15	err	s16	err	err	r10	r10	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	
3	err	err	err	err	s7	s5	s6	s11	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	18	err	err	17	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	
4	r3	err	err	err	r3	r3	r3	r3	r3	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	
5	err	r6	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	
6	err	r7	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	
7	err	r5	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	
8	err	err	err	err	r11	r11	r11	r11	s8	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	19	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	
9	r2	err	err	err	r2	r2	r2	r2	r2	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	
