State	$	import	.	id	;	comma	=	static	(	)	void	...	{	}	struct	union	TYPEDEF	[	]	INTEGER	*	-=	signed	unsigned	char	if	else	while	do	util	for	break	goto	continue	return	:	case	defult	switch	?	||	&&	==	!=	<	>	<=	>=	<<	>>	+	-	/	%	++	--	SIZEOF	!	~	&	->	CHARACTOR	STRING	FLOAT	+=	*=	/=	%=	const	bool	float	double	long	short	int	programe	import_staments	import_stament	NAME	name	top_defs	top_def	defvars	initial_parts	initial_part	optional_expr	storage	defun	params	fixed_params	param	kwargs	block	block_componets	defstruct	defunion	member_list	slots	typedef	type	type_postfix	param_typerefs	fixed_param_ref	opassign_op	primary_type	stmts	stmt	if_stmt	while_stmt	dowhile_stmt	for_stmt	optional_for_expr	break_stmt	goto_stmt	continue_stmt	return_stmt	label_stmt	switch_stmt	label_stmts	expr	conditional_expr	logical_or_expr	logical_and_expr	equality_expr	relational_expr	shift_expr	additive_expr	multiplicative_expr	term	unary_expr	unary_operator	postfix_expr	primary_expr	CONSTANT	defconst	args	int_type	block_componet	forIniitialer	optional_for_exprs	
0	r2	r2						r2			r2				r2	r2	r2						r2	r2	r2																																												r2	r2	r2	r2	r2	r2	r2	1	2																																																																
1	acc																																																																																																																																												
2	r8	s4						r8			r8				r8	r8	r8						r8	r8	r8																																												r8	r8	r8	r8	r8	r8	r8			5			3																																																												
3	r0							s16			r20				s7	s14	s12						r20	r20	r20																																												s17	r20	r20	r20	r20	r20	r20							18	6				8	11							9	13			10																																				15						
4				s19																																																																											21	20																																																													
5	r1	r1						r1			r1				r1	r1	r1						r1	r1	r1																																												r1	r1	r1	r1	r1	r1	r1																																																																		
6	r10							r10			r10				r10	r10	r10						r10	r10	r10																																												r10	r10	r10	r10	r10	r10	r10																																																																		
7				s19																																																																												22																																																													
8											s30				s24	s31							s33	s27	s26																																													s35	s36	s37	s28	s29	s25																									23					34																																32				
9	r12							r12			r12				r12	r12	r12						r12	r12	r12																																												r12	r12	r12	r12	r12	r12	r12																																																																		
10	r13							r13			r13				r13	r13	r13						r13	r13	r13																																												r13	r13	r13	r13	r13	r13	r13																																																																		
11	r9							r9			r9				r9	r9	r9						r9	r9	r9																																												r9	r9	r9	r9	r9	r9	r9																																																																		
12											s30				s24	s31							s33	s27	s26																																													s35	s36	s37	s28	s29	s25																									38					34																																32				
13	r39							r39			r39				r39	r39	r39						r39	r39	r39																																												r39	r39	r39	r39	r39	r39	r39																																																																		
14				s19																																																																												39																																																													
15	r11							r11			r11				r11	r11	r11						r11	r11	r11																																												r11	r11	r11	r11	r11	r11	r11																																																																		
16											r21				r21	r21							r21	r21	r21																																													r21	r21	r21	r21	r21	r21																																																																		
17											s30				s24	s31							s33	s27	s26																																													s35	s36	s37	s28	s29	s25																									40					34																																32				
18	r7							r7			r7				r7	r7	r7						r7	r7	r7																																												r7	r7	r7	r7	r7	r7	r7																																																																		
19	r6	r6	r6		r6	r6	r6	r6	r6	r6	r6		r6		r6	r6	r6	r6	r6		r6	r6	r6	r6	r6											r6				r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6					r6				r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6																																																																		
20	r5	r5	r5					r5			r5				r5	r5	r5						r5	r5	r5																																												r5	r5	r5	r5	r5	r5	r5																																																																		
21	r3	r3	s41					r3			r3				r3	r3	r3						r3	r3	r3																																												r3	r3	r3	r3	r3	r3	r3																																																																		
22													s42																																																																																				43																																												
23				s19																																																																												44																																																													
24				s45																																																																																																																																									
25				r160		r160			r160	r160								r160			r160																																																																																																																								
26				r53		r53			r53	r53								r53			r53																																																																																																																								
27																																																																									s28	s29	s25																																																														46				
28				r157		r157			r157	r157								r157			r157																																																				s47																																																																				
29				r159		r159			r159	r159								r159			r159																																																																																																																								
30				r54		r54			r54	r54								r54			r54																																																																																																																								
31				s48																																																																																																																																									
32				r154		r154			r154	r154								r154			r154																																																																																																																								
33																																																																									s28	s29	s25																																																														49				
34				r41		r41			r41	r41								r41			r41																																																																																50																																								
35				r153		r153			r153	r153								r153			r153																																																																																																																								
36				r155		r155			r155	r155								r155			r155																																																																																																																								
37				r156		r156			r156	r156								r156			r156																																																																																																																								
38				s51																																																																																																																																									
39													s42																																																																																				52																																												
40				s53																																																																																																																																									
41				s19																																																																												54																																																													
42											r36			r36	r36	r36							r36	r36	r36																																													r36	r36	r36	r36	r36	r36																							55																																											
43					s56																																																																																																																																								
44					r18	r18	s57		s59																																																																													58																																																							
45				r55		r55			r55	r55								r55			r55																																																																																																																								
46				r52		r52			r52	r52								r52			r52																																																																																																																								
47				r158		r158			r158	r158								r158			r158																																																																																																																								
48				r56		r56			r56	r56								r56			r56																																																																																																																								
49				r51		r51			r51	r51								r51			r51																																																																																																																								
50				r40		r40			s61	r40								s60			s62																																																																																																																								
51					s63																																																																																																																																								
52					s64																																																																																																																																								
53							s65																																																																																																																																						
54	r4	r4	r4					r4			r4				r4	r4	r4						r4	r4	r4																																												r4	r4	r4	r4	r4	r4	r4																																																																		
55											s30			s67	s24	s31							s33	s27	s26																																													s35	s36	s37	s28	s29	s25																									66					34																																32				
56	r33							r33			r33				r33	r33	r33						r33	r33	r33																																												r33	r33	r33	r33	r33	r33	r33																																																																		
57				s79					s92											s85	s80																														s68	s93			s84	s76	s89	s69	s78	s77		s82	s73	s70																																																								71	75	83	72	91	87	90	96	95	86	74	94	81	88	97							
58					r15	r15																																																																														98																																																									
