|-------|-----|-----|------|-----|-----|-----|-------|------|--------|-----|------|-----|------|-------|-----|--------|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|------|-----|-----|-----|-----|-----|-----|-----|-----|-------|---------|------------------|-------------|-----------------|----------------|-----------------|--------|------------|-------|---------------|--------------------|----------------|-----------|-----------------|----------------|----------------|-------------|------------|-----|-------------------|-------|---------------------|-------|------|-------|--------|------|------|----------|--|
| State | $   | ID  | ;    | [   | ]   | int | float | char | double | (   | )    | if  | else | while | for | return | =   | <   | >   | <=  | >=  | ==  | !=  |   + |   - | *   | /   | NUM | void | %   | !   | &&  | &   | ==  | ||  | {   | }   | comma | program | declaration_list | declaration | var_declaration | type_specifier | fun_declaration | params | param_list | param | compound_stmt | local_declarations | statement_list | statement | expression_stmt | selection_stmt | iteration_stmt | return_stmt | expression | var | simple_expression | relop | additive_expression | addop | term | mulop | factor | call | args | arg_list |  |
|-------|-----|-----|------|-----|-----|-----|-------|------|--------|-----|------|-----|------|-------|-----|--------|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|------|-----|-----|-----|-----|-----|-----|-----|-----|-------|---------|------------------|-------------|-----------------|----------------|-----------------|--------|------------|-------|---------------|--------------------|----------------|-----------|-----------------|----------------|----------------|-------------|------------|-----|-------------------|-------|---------------------|-------|------|-------|--------|------|------|----------|--|
|     0 | err | err | err  | err | err | s10 | s7    | s5   | s2     | err | err  | err | err  | err   | err | err    | err | err | err | err | err | err | err | err | err | err | err | err | err  | err | err | err | err | err | err | err | err | err   |       6 |                9 |           3 |               8 |              1 |               4 | err    | err        | err   | err           | err                | err            | err       | err             | err            | err            | err         | err        | err | err               | err   | err                 | err   | err  | err   | err    | err  | err  | err      |  |
|-------|-----|-----|------|-----|-----|-----|-------|------|--------|-----|------|-----|------|-------|-----|--------|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|------|-----|-----|-----|-----|-----|-----|-----|-----|-------|---------|------------------|-------------|-----------------|----------------|-----------------|--------|------------|-------|---------------|--------------------|----------------|-----------|-----------------|----------------|----------------|-------------|------------|-----|-------------------|-------|---------------------|-------|------|-------|--------|------|------|----------|--|
|     1 | err | s11 | err  | err | err | err | err   | err  | err    | err | err  | err | err  | err   | err | err    | err | err | err | err | err | err | err | err | err | err | err | err | err  | err | err | err | err | err | err | err | err | err   | err     | err              | err         | err             | err            | err             | err    | err        | err   | err           | err                | err            | err       | err             | err            | err            | err         | err        | err | err               | err   | err                 | err   | err  | err   | err    | err  | err  | err      |  |
|-------|-----|-----|------|-----|-----|-----|-------|------|--------|-----|------|-----|------|-------|-----|--------|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|------|-----|-----|-----|-----|-----|-----|-----|-----|-------|---------|------------------|-------------|-----------------|----------------|-----------------|--------|------------|-------|---------------|--------------------|----------------|-----------|-----------------|----------------|----------------|-------------|------------|-----|-------------------|-------|---------------------|-------|------|-------|--------|------|------|----------|--|
|     2 | err | r10 | err  | err | err | err | err   | err  | err    | err | err  | err | err  | err   | err | err    | err | err | err | err | err | err | err | err | err | err | err | err | err  | err | err | err | err | err | err | err | err | err   | err     | err              | err         | err             | err            | err             | err    | err        | err   | err           | err                | err            | err       | err             | err            | err            | err         | err        | err | err               | err   | err                 | err   | err  | err   | err    | err  | err  | err      |  |
|-------|-----|-----|------|-----|-----|-----|-------|------|--------|-----|------|-----|------|-------|-----|--------|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|------|-----|-----|-----|-----|-----|-----|-----|-----|-------|---------|------------------|-------------|-----------------|----------------|-----------------|--------|------------|-------|---------------|--------------------|----------------|-----------|-----------------|----------------|----------------|-------------|------------|-----|-------------------|-------|---------------------|-------|------|-------|--------|------|------|----------|--|
|     3 | r2  | err | err  | err | err | r2  | r2    | r2   | r2     | err | err  | err | err  | err   | err | err    | err | err | err | err | err | err | err | err | err | err | err | err | err  | err | err | err | err | err | err | err | err | err   | err     | err              | err         | err             | err            | err             | err    | err        | err   | err           | err                | err            | err       | err             | err            | err            | err         | err        | err | err               | err   | err                 | err   | err  | err   | err    | err  | err  | err      |  |
|-------|-----|-----|------|-----|-----|-----|-------|------|--------|-----|------|-----|------|-------|-----|--------|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|------|-----|-----|-----|-----|-----|-----|-----|-----|-------|---------|------------------|-------------|-----------------|----------------|-----------------|--------|------------|-------|---------------|--------------------|----------------|-----------|-----------------|----------------|----------------|-------------|------------|-----|-------------------|-------|---------------------|-------|------|-------|--------|------|------|----------|--|
