State	$	num	+	-	*	/	(	)	E	T	F	
0	err	s1	err	err	err	err	s5	err	3	4	2	
1	r7	err	r7	r7	r7	r7	err	r7	err	err	err	
2	r5	err	r5	r5	r5	r5	err	r5	err	err	err	
3	acc	err	s7	s6	err	err	err	err	err	err	err	
4	r2	err	r2	r2	s9	s8	err	r2	err	err	err	
5	err	s1	err	err	err	err	s5	err	10	4	2	
6	err	s1	err	err	err	err	s5	err	err	11	2	
7	err	s1	err	err	err	err	s5	err	err	12	2	
8	err	s1	err	err	err	err	s5	err	err	err	13	
9	err	s1	err	err	err	err	s5	err	err	err	14	
10	err	err	s7	s6	err	err	err	s15	err	err	err	
11	r1	err	r1	r1	s9	s8	err	r1	err	err	err	
12	r0	err	r0	r0	s9	s8	err	r0	err	err	err	
13	r4	err	r4	r4	r4	r4	err	r4	err	err	err	
14	r3	err	r3	r3	r3	r3	err	r3	err	err	err	
15	r6	err	r6	r6	r6	r6	err	r6	err	err	err	
